아파트명,Complex No
e편한세상수지(주상복합),109948
건영,3737
동문,2214
동보,3739
동부,3740
동아.삼익.풍림,11098
라펠리스(도시형),121003
래미안수지이스트파크,107215
명민시티,121009
"베아트리스(도시형,민간임대)",163377
보원,2218
삼성1차,2219
삼성쉐르빌,14367
솔리채(도시형),161447
수지CJ빌리지,17276
수지광교산아이파크,119831
수지에듀파크,3735
수지진산마을푸르지오,10959
수지파크푸르지오,114527
수지포레스트(주상복합),129678
수지푸르지오월드마크(주상복합),102530
수지풍덕천한샘더랜드마크(도시형),113619
스타펠리스(도시형),111145
신정1단지주공,3745
신정2단지현대프라임,3750
신정3단지극동임광,3742
신정5단지성지,3743
신정6단지상록,11232
신정6단지우성,3744
신정6단지진흥,3747
신정7단지상록,11231
신정8단지현대성우,3748
아드리아(도시형),108521
용인수지신정9단지주공,3746
용인수지우성그린빌,15015
원흥,9478
이스턴팰리스,3736
정자뜰마을태영데시앙1차,8484
정자뜰마을태영데시앙2차,14130
진산마을삼성5차,8213
진산마을삼성6차,8444
진산마을삼성7차,8445
진영빌(도시형),121004
한국,3741
현대,2225
